r,T
0.946237, 3.61591
0.947214, 3.56964
0.948192, 3.52332
0.949169, 3.47695
0.950147, 3.43054
0.951124, 3.38407
0.952102, 3.33756
0.953079, 3.291
0.954057, 3.2444
0.955034, 3.19774
0.956012, 3.15104
0.956989, 3.10429
0.957967, 3.05749
0.958944, 3.01065
0.959922, 2.96375
0.960899, 2.91681
0.961877, 2.86982
0.962854, 2.82279
0.963832, 2.7757
0.964809, 2.72857
0.965787, 2.68139
0.966764, 2.63416
0.967742, 2.58689
0.968719, 2.53957
0.969697, 2.4922
0.970674, 2.44478
0.971652, 2.39731
0.97263, 2.3498
0.973607, 2.30223
0.974585, 2.25462
0.975562, 2.20697
0.97654, 2.15926
0.977517, 2.11151
0.978495, 2.06371
0.979472, 2.01586
0.98045, 1.96796
0.981427, 1.92002
0.982405, 1.87203
0.983382, 1.82399
0.98436, 1.7759
0.985337, 1.72776
0.986315, 1.67958
0.987292, 1.63135
0.98827, 1.58307
0.989247, 1.53474
0.990225, 1.48637
0.991202, 1.43795
0.99218, 1.38948
0.993157, 1.34096
0.994135, 1.2924
0.995112, 1.24378
0.99609, 1.19512
0.997067, 1.14641
0.998045, 1.09766
0.999022, 1.04885
1, 1
